Name,Team,Number,Position,Height,Age,Weight,College,Salary
Nik Stauskas,Philadelphia 76ers,11,SG,78,22,205,Michigan,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,80,25,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,35,PF,83,20,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,8,C,81,23,245,,2814000
Bruno Caboclo,Toronto Raptors,20,SF,81,20,205,,1524000
DeMarre Carroll,Toronto Raptors,5,SF,80,29,212,Missouri,13600000
DeMar DeRozan,Toronto Raptors,10,SG,79,26,220,USC,10050000
James Johnson,Toronto Raptors,3,PF,81,29,250,Wake Forest,2500000
Cory Joseph,Toronto Raptors,6,PG,75,24,190,Texas,7000000
Kyle Lowry,Toronto Raptors,7,PG,73,30,205,Villanova,12000000
Lucas Nogueira,Toronto Raptors,92,C,85,23,220,,1842000
Patrick Patterson,Toronto Raptors,54,PF,81,27,235,Kentucky,6268675
Norman Powell,Toronto Raptors,24,SG,76,23,215,UCLA,650000
Terrence Ross,Toronto Raptors,31,SF,79,25,195,Washington,3553917
Luis Scola,Toronto Raptors,4,PF,81,36,240,,2900000
Jason Thompson,Toronto Raptors,1,PF,83,29,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,17,C,85,24,255,,4660482
Delon Wright,Toronto Raptors,55,PG,77,24,190,Utah,1509360
Leandro Barbosa,Golden State Warriors,19,SG,75,33,194,,2500000
Harrison Barnes,Golden State Warriors,40,SF,80,24,225,North Carolina,3873398
Andrew Bogut,Golden State Warriors,12,C,85,31,260,Utah,13800000
Ian Clark,Golden State Warriors,21,SG,75,25,175,Belmont,947276
Stephen Curry,Golden State Warriors,30,PG,75,28,190,Davidson,11370786
Festus Ezeli,Golden State Warriors,31,C,83,26,265,Vanderbilt,2008748
Draymond Green,Golden State Warriors,23,PF,79,26,230,Michigan State,14260870
Andre Iguodala,Golden State Warriors,9,SF,78,32,215,Arizona,11710456
Shaun Livingston,Golden State Warriors,34,PG,79,30,192,,5543725
Kevon Looney,Golden State Warriors,36,SF,81,20,220,UCLA,1131960
James Michael McAdoo,Golden State Warriors,20,SF,81,23,240,North Carolina,845059
Brandon Rush,Golden State Warriors,4,SF,78,30,220,Kansas,1270964
Marreese Speights,Golden State Warriors,5,C,82,28,255,Florida,3815000
Klay Thompson,Golden State Warriors,11,SG,79,26,215,Washington State,15501000
Anderson Varejao,Golden State Warriors,18,PF,83,33,273,,289755
Cole Aldrich,Los Angeles Clippers,45,C,83,27,250,Kansas,1100602
Jeff Ayres,Los Angeles Clippers,19,PF,81,29,250,Arizona State,111444
Jamal Crawford,Los Angeles Clippers,11,SG,77,36,195,Michigan,5675000
Branden Dawson,Los Angeles Clippers,22,SF,78,23,225,Michigan State,525093
Jeff Green,Los Angeles Clippers,8,SF,81,29,235,Georgetown,9650000
Blake Griffin,Los Angeles Clippers,32,PF,82,27,251,Oklahoma,18907726
Wesley Johnson,Los Angeles Clippers,33,SF,79,28,215,Syracuse,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,83,27,265,Texas A&M,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,80,29,230,UCLA,947276
Chris Paul,Los Angeles Clippers,3,PG,73,31,175,Wake Forest,21468695
Paul Pierce,Los Angeles Clippers,34,SF,79,38,235,Kansas,3376000
Pablo Prigioni,Los Angeles Clippers,9,PG,75,39,185,,947726
JJ Redick,Los Angeles Clippers,4,SG,76,31,190,Duke,7085000
Austin Rivers,Los Angeles Clippers,25,PG,76,23,200,Duke,3110796
C.J. Wilcox,Los Angeles Clippers,30,SG,77,25,195,Washington,1159680
Brandon Bass,Los Angeles Lakers,2,PF,80,31,250,LSU,3000000
Tarik Black,Los Angeles Lakers,28,C,81,24,250,Kansas,845059
Anthony Brown,Los Angeles Lakers,3,SF,79,23,210,Stanford,700000
Kobe Bryant,Los Angeles Lakers,24,SF,78,37,212,,25000000
Jordan Clarkson,Los Angeles Lakers,6,PG,77,24,194,Missouri,845059
Roy Hibbert,Los Angeles Lakers,17,C,86,29,270,Georgetown,15592217
Marcelo Huertas,Los Angeles Lakers,9,PG,75,33,200,,525093
Ryan Kelly,Los Angeles Lakers,4,PF,83,25,230,Duke,1724250
Larry Nance Jr.,Los Angeles Lakers,7,PF,81,23,230,Wyoming,1155600
Julius Randle,Los Angeles Lakers,30,PF,81,21,250,Kentucky,3132240
D'Angelo Russell,Los Angeles Lakers,1,PG,77,20,195,Ohio State,5103120
Robert Sacre,Los Angeles Lakers,50,C,85,27,270,Gonzaga,981348
Louis Williams,Los Angeles Lakers,23,SG,73,29,175,,7000000
Metta World Peace,Los Angeles Lakers,37,SF,79,36,260,St. John's,947276
Nick Young,Los Angeles Lakers,0,SF,79,31,210,USC,5219169
Eric Bledsoe,Phoenix Suns,2,PG,73,26,190,Kentucky,13500000
Devin Booker,Phoenix Suns,1,SG,78,19,206,Kentucky,2127840
Chase Budinger,Phoenix Suns,10,SF,79,28,209,Arizona,206192
Tyson Chandler,Phoenix Suns,4,C,85,33,240,,13000000
Archie Goodwin,Phoenix Suns,20,SG,77,21,200,Kentucky,1160160
John Jenkins,Phoenix Suns,23,SG,76,25,215,Vanderbilt,981348
Brandon Knight,Phoenix Suns,3,PG,75,24,189,Kentucky,13500000
Alex Len,Phoenix Suns,21,C,85,22,260,Maryland,3807120
Jon Leuer,Phoenix Suns,30,PF,82,27,228,Wisconsin,1035000
Phil Pressey,Phoenix Suns,25,PG,71,25,175,Missouri,55722
Ronnie Price,Phoenix Suns,14,PG,74,32,190,Utah Valley,947276
Mirza Teletovic,Phoenix Suns,35,PF,81,30,242,,5500000
P.J. Tucker,Phoenix Suns,17,SF,78,31,245,Texas,5500000
T.J. Warren,Phoenix Suns,12,SF,80,22,230,North Carolina State,2041080
Alan Williams,Phoenix Suns,15,C,80,23,260,UC Santa Barbara,83397
Quincy Acy,Sacramento Kings,13,SF,79,25,240,Baylor,981348
James Anderson,Sacramento Kings,5,SG,78,27,213,Oklahoma State,1015421
Marco Belinelli,Sacramento Kings,3,SG,77,30,210,,6060606
Caron Butler,Sacramento Kings,31,SF,79,36,228,Connecticut,1449187
Omri Casspi,Sacramento Kings,18,SF,81,27,225,,2836186
Willie Cauley-Stein,Sacramento Kings,0,C,85,22,240,Kentucky,3398280
Darren Collison,Sacramento Kings,7,PG,73,28,175,UCLA,5013559
DeMarcus Cousins,Sacramento Kings,15,C,83,25,270,Kentucky,15851950
Seth Curry,Sacramento Kings,30,SG,74,25,185,Duke,947276
Duje Dukan,Sacramento Kings,26,PF,81,24,220,Wisconsin,525093
Rudy Gay,Sacramento Kings,8,SF,80,29,230,Connecticut,12403101
Kosta Koufos,Sacramento Kings,41,C,85,27,265,Ohio State,7700000
Ben McLemore,Sacramento Kings,23,SG,77,23,195,Kansas,3156600
Eric Moreland,Sacramento Kings,25,PF,82,24,238,Oregon State,845059
Rajon Rondo,Sacramento Kings,9,PG,73,30,186,Kentucky,9500000
Cameron Bairstow,Chicago Bulls,41,PF,81,25,250,New Mexico,845059
Aaron Brooks,Chicago Bulls,0,PG,73,31,161,Oregon,2250000
Jimmy Butler,Chicago Bulls,21,SG,79,26,220,Marquette,16407500
Mike Dunleavy,Chicago Bulls,34,SG,81,35,230,Duke,4500000
Cristiano Felicio,Chicago Bulls,6,PF,82,23,275,,525093
Pau Gasol,Chicago Bulls,16,C,85,35,250,,7448760
Taj Gibson,Chicago Bulls,22,PF,81,30,225,USC,8500000
Justin Holiday,Chicago Bulls,7,SG,78,27,185,Washington,947276
Doug McDermott,Chicago Bulls,3,SF,80,24,225,Creighton,2380440
Nikola Mirotic,Chicago Bulls,44,PF,82,25,220,,5543725
E'Twaun Moore,Chicago Bulls,55,SG,76,27,191,Purdue,1015421
Joakim Noah,Chicago Bulls,13,C,83,31,232,Florida,13400000
Bobby Portis,Chicago Bulls,5,PF,83,21,230,Arkansas,1391160
Derrick Rose,Chicago Bulls,1,PG,75,27,190,Memphis,20093064
Tony Snell,Chicago Bulls,20,SF,79,24,200,New Mexico,1535880
Matthew Dellavedova,Cleveland Cavaliers,8,PG,76,25,198,Saint Mary's,1147276
Channing Frye,Cleveland Cavaliers,9,PF,83,33,255,Arizona,8193029
Kyrie Irving,Cleveland Cavaliers,2,PG,75,24,193,Duke,16407501
LeBron James,Cleveland Cavaliers,23,SF,80,31,250,,22970500
Richard Jefferson,Cleveland Cavaliers,24,SF,79,35,233,Arizona,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,78,35,225,Duke,
James Jones,Cleveland Cavaliers,1,SG,80,35,218,Miami (FL),947276
Sasha Kaun,Cleveland Cavaliers,14,C,83,31,260,Kansas,1276000
Kevin Love,Cleveland Cavaliers,0,PF,82,27,251,UCLA,19689000
Jordan McRae,Cleveland Cavaliers,12,SG,77,25,179,Tennessee,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,85,29,275,,4950000
Iman Shumpert,Cleveland Cavaliers,4,SG,77,25,220,Georgia Tech,8988765
J.R. Smith,Cleveland Cavaliers,5,SG,78,30,225,,5000000
Tristan Thompson,Cleveland Cavaliers,13,C,81,25,238,Texas,14260870
Mo Williams,Cleveland Cavaliers,52,PG,73,33,198,Alabama,2100000
Joel Anthony,Detroit Pistons,50,C,81,33,245,UNLV,2500000
Aron Baynes,Detroit Pistons,12,C,82,29,260,Washington State,6500000
Steve Blake,Detroit Pistons,22,PG,75,36,172,Maryland,2170465
Lorenzo Brown,Detroit Pistons,17,PG,77,25,189,North Carolina State,111444
Reggie Bullock,Detroit Pistons,25,SF,79,25,205,North Carolina,1252440
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,77,23,205,Georgia,2891760
Spencer Dinwiddie,Detroit Pistons,8,PG,78,23,200,Colorado,845059
Andre Drummond,Detroit Pistons,0,C,83,22,279,Connecticut,3272091
Tobias Harris,Detroit Pistons,34,SF,81,23,235,Tennessee,16000000
Darrun Hilliard,Detroit Pistons,6,SF,78,23,205,Villanova,600000
Reggie Jackson,Detroit Pistons,1,PG,75,26,208,Boston College,13913044
Stanley Johnson,Detroit Pistons,3,SF,79,20,245,Arizona,2841960
Jodie Meeks,Detroit Pistons,20,SG,76,28,210,Kentucky,6270000
Marcus Morris,Detroit Pistons,13,PF,81,26,235,Kansas,5000000
Anthony Tolliver,Detroit Pistons,43,PF,80,31,240,Creighton,3000000
Lavoy Allen,Indiana Pacers,5,PF,81,27,255,Temple,4050000
Rakeem Christmas,Indiana Pacers,25,PF,81,24,250,Syracuse,1007026
Monta Ellis,Indiana Pacers,11,SG,75,30,185,,10300000
Paul George,Indiana Pacers,13,SF,81,26,220,Fresno State,17120106
George Hill,Indiana Pacers,3,PG,75,30,188,IUPUI,8000000
Jordan Hill,Indiana Pacers,27,C,82,28,235,Arizona,4000000
Solomon Hill,Indiana Pacers,44,SF,79,25,225,Arizona,1358880
Ty Lawson,Indiana Pacers,10,PG,71,28,195,North Carolina,211744
Ian Mahinmi,Indiana Pacers,28,C,83,29,250,,4000000
C.J. Miles,Indiana Pacers,0,SF,78,29,231,,4394225
Glenn Robinson III,Indiana Pacers,40,SG,79,22,222,Michigan,1100000
Rodney Stuckey,Indiana Pacers,2,PG,77,30,205,Eastern Washington,7000000
Myles Turner,Indiana Pacers,33,PF,83,20,243,Texas,2357760
Shayne Whittington,Indiana Pacers,42,PF,83,25,250,Western Michigan,845059
Joe Young,Indiana Pacers,1,PG,74,23,180,Oregon,1007026
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,83,21,222,,1953960
Jerryd Bayless,Milwaukee Bucks,19,PG,75,27,200,Arizona,3000000
Michael Carter-Williams,Milwaukee Bucks,5,PG,78,24,190,Syracuse,2399040
Jared Cunningham,Milwaukee Bucks,9,SG,76,25,195,Oregon State,947276
Tyler Ennis,Milwaukee Bucks,11,PG,75,21,194,Syracuse,1662360
John Henson,Milwaukee Bucks,31,PF,83,25,229,North Carolina,2943221
Damien Inglis,Milwaukee Bucks,17,SF,80,21,246,,855000
O.J. Mayo,Milwaukee Bucks,3,SG,77,28,210,USC,8000000
Khris Middleton,Milwaukee Bucks,22,SG,80,24,234,Texas A&M,14700000
Greg Monroe,Milwaukee Bucks,15,C,83,26,265,Georgetown,16407500
Steve Novak,Milwaukee Bucks,6,SF,82,32,225,Marquette,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,81,23,257,LSU,845059
Jabari Parker,Milwaukee Bucks,12,PF,80,21,250,Duke,5152440
Miles Plumlee,Milwaukee Bucks,18,C,83,27,249,Duke,2109294
Greivis Vasquez,Milwaukee Bucks,21,PG,78,29,217,Maryland,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,78,19,202,UNLV,1733040
Justin Anderson,Dallas Mavericks,1,SG,78,22,228,Virginia,1449000
J.J. Barea,Dallas Mavericks,5,PG,73,31,185,Northeastern,4290000
Jeremy Evans,Dallas Mavericks,21,SF,81,28,200,Western Kentucky,1100602
Raymond Felton,Dallas Mavericks,2,PG,73,31,205,North Carolina,3950313
Devin Harris,Dallas Mavericks,34,PG,75,33,185,Wisconsin,4053446
David Lee,Dallas Mavericks,42,PF,81,33,245,Florida,2085671
Wesley Matthews,Dallas Mavericks,23,SG,77,29,220,Marquette,16407500
JaVale McGee,Dallas Mavericks,11,C,85,28,270,Nevada,1270964
Salah Mejri,Dallas Mavericks,50,C,86,29,245,,525093
Dirk Nowitzki,Dallas Mavericks,41,PF,85,37,245,,8333334
Zaza Pachulia,Dallas Mavericks,27,C,83,32,275,,5200000
Chandler Parsons,Dallas Mavericks,25,SF,82,27,230,Florida,15361500
Dwight Powell,Dallas Mavericks,7,PF,83,24,240,Stanford,845059
Charlie Villanueva,Dallas Mavericks,3,PF,83,31,232,Connecticut,947276
Deron Williams,Dallas Mavericks,8,PG,75,31,200,Illinois,5378974
Trevor Ariza,Houston Rockets,1,SF,80,30,215,UCLA,8193030
Michael Beasley,Houston Rockets,8,SF,82,27,235,Kansas State,306527
Patrick Beverley,Houston Rockets,2,PG,73,27,185,Arkansas,6486486
Corey Brewer,Houston Rockets,33,SG,81,30,186,Florida,8229375
Clint Capela,Houston Rockets,15,PF,82,22,240,,1242720
Sam Dekker,Houston Rockets,7,SF,81,22,230,Wisconsin,1646400
Andrew Goudelock,Houston Rockets,0,PG,75,27,200,Charleston,200600
James Harden,Houston Rockets,13,SG,77,26,220,Arizona State,15756438
Montrezl Harrell,Houston Rockets,35,PF,80,22,240,Louisville,1000000
Dwight Howard,Houston Rockets,12,C,83,30,265,,22359364
Terrence Jones,Houston Rockets,6,PF,81,24,252,Kentucky,2489530
K.J. McDaniels,Houston Rockets,32,SG,78,23,205,Clemson,3189794
Donatas Motiejunas,Houston Rockets,20,PF,85,25,222,,2288205
Josh Smith,Houston Rockets,5,C,81,30,225,,947276
Jason Terry,Houston Rockets,31,SG,74,38,185,Arizona,947276
Jordan Adams,Memphis Grizzlies,3,SG,77,21,209,UCLA,1404600
Tony Allen,Memphis Grizzlies,9,SG,76,34,213,Oklahoma State,5158539
Chris Andersen,Memphis Grizzlies,7,PF,82,37,245,Blinn College,5000000
Matt Barnes,Memphis Grizzlies,22,SF,79,36,226,UCLA,3542500
Vince Carter,Memphis Grizzlies,15,SG,78,39,220,North Carolina,4088019
Mike Conley,Memphis Grizzlies,11,PG,73,28,175,Ohio State,9588426
Bryce Cotton,Memphis Grizzlies,8,PG,73,23,165,Providence,700902
Jordan Farmar,Memphis Grizzlies,4,PG,74,29,180,UCLA,
Marc Gasol,Memphis Grizzlies,33,C,85,31,255,,19688000
JaMychal Green,Memphis Grizzlies,0,PF,81,25,227,Alabama,845059
P.J. Hairston,Memphis Grizzlies,19,SF,78,23,230,North Carolina,1201440
Jarell Martin,Memphis Grizzlies,10,PF,82,22,239,LSU,1230840
Ray McCallum,Memphis Grizzlies,5,PG,75,24,190,Detroit,
Xavier Munford,Memphis Grizzlies,14,PG,75,24,180,Rhode Island,
Zach Randolph,Memphis Grizzlies,50,PF,81,34,260,Michigan State,9638555
Lance Stephenson,Memphis Grizzlies,1,SF,77,25,230,Cincinnati,9000000
Alex Stepheson,Memphis Grizzlies,35,PF,82,28,270,USC,
Brandan Wright,Memphis Grizzlies,34,PF,82,28,210,North Carolina,5464000
Alexis Ajinca,New Orleans Pelicans,42,C,86,28,248,,4389607
Ryan Anderson,New Orleans Pelicans,33,PF,82,28,240,California,8500000
Omer Asik,New Orleans Pelicans,3,C,85,29,255,,9213483
Luke Babbitt,New Orleans Pelicans,8,SF,81,26,225,Nevada,1100602
Norris Cole,New Orleans Pelicans,30,PG,74,27,175,Cleveland State,3036927
Dante Cunningham,New Orleans Pelicans,44,PF,80,29,230,Villanova,2850000
Anthony Davis,New Orleans Pelicans,23,PF,82,23,253,Kentucky,7070730
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,78,23,203,Iowa State,169883
Toney Douglas,New Orleans Pelicans,16,PG,74,30,195,Florida State,1164858
James Ennis,New Orleans Pelicans,4,SF,79,25,210,Long Beach State,845059
Tyreke Evans,New Orleans Pelicans,1,SG,78,26,220,Memphis,10734586
Tim Frazier,New Orleans Pelicans,2,PG,73,25,170,Penn State,845059
Alonzo Gee,New Orleans Pelicans,15,SF,78,29,225,Alabama,1320000
Eric Gordon,New Orleans Pelicans,10,SG,76,27,215,Indiana,15514031
Jordan Hamilton,New Orleans Pelicans,25,SG,79,25,220,Texas,1015421
Jrue Holiday,New Orleans Pelicans,11,PG,76,25,205,UCLA,10595507
Orlando Johnson,New Orleans Pelicans,0,SG,77,27,220,UC Santa Barbara,55722
Kendrick Perkins,New Orleans Pelicans,5,C,82,31,270,,947276
Quincy Pondexter,New Orleans Pelicans,20,SF,79,28,220,Washington,3382023
LaMarcus Aldridge,San Antonio Spurs,12,PF,83,30,240,Texas,19689000
Kyle Anderson,San Antonio Spurs,1,SF,81,22,230,UCLA,1142880
Matt Bonner,San Antonio Spurs,15,C,82,36,235,Florida,947276
Boris Diaw,San Antonio Spurs,33,C,80,34,250,,7500000
Tim Duncan,San Antonio Spurs,21,C,83,40,250,Wake Forest,5250000
Manu Ginobili,San Antonio Spurs,20,SG,78,38,205,,2814000
Danny Green,San Antonio Spurs,14,SG,78,28,215,North Carolina,10000000
Kawhi Leonard,San Antonio Spurs,2,SF,79,24,230,San Diego State,16407500
Boban Marjanovic,San Antonio Spurs,40,C,87,27,290,,1200000
Kevin Martin,San Antonio Spurs,23,SG,79,33,199,Western Carolina,200600
Andre Miller,San Antonio Spurs,24,PG,75,40,200,Utah,250750
Patty Mills,San Antonio Spurs,8,PG,73,27,185,Saint Mary's,3578947
Tony Parker,San Antonio Spurs,9,PG,74,34,185,,13437500
Jonathon Simmons,San Antonio Spurs,17,SG,78,26,195,Houston,525093
David West,San Antonio Spurs,30,PF,81,35,250,Xavier,1499187
Kent Bazemore,Atlanta Hawks,24,SF,77,26,201,Old Dominion,2000000
Tim Hardaway Jr.,Atlanta Hawks,10,SG,78,24,205,Michigan,1304520
Kirk Hinrich,Atlanta Hawks,12,SG,76,35,190,Kansas,2854940
Al Horford,Atlanta Hawks,15,C,82,30,245,Florida,12000000
Kris Humphries,Atlanta Hawks,43,PF,81,31,235,Minnesota,1000000
Kyle Korver,Atlanta Hawks,26,SG,79,35,212,Creighton,5746479
Paul Millsap,Atlanta Hawks,4,PF,80,31,246,Louisiana Tech,18671659
Mike Muscala,Atlanta Hawks,31,PF,83,24,240,Bucknell,947276
Lamar Patterson,Atlanta Hawks,13,SG,77,24,225,Pittsburgh,525093
Dennis Schroder,Atlanta Hawks,17,PG,73,22,172,,1763400
Mike Scott,Atlanta Hawks,32,PF,80,27,237,Virginia,3333333
Thabo Sefolosha,Atlanta Hawks,25,SF,79,32,220,,4000000
Tiago Splitter,Atlanta Hawks,11,C,83,31,245,,9756250
Walter Tavares,Atlanta Hawks,22,C,87,24,260,,1000000
Jeff Teague,Atlanta Hawks,0,PG,74,27,186,Wake Forest,8000000
Nicolas Batum,Charlotte Hornets,5,SG,80,27,200,,13125306
Troy Daniels,Charlotte Hornets,30,SG,76,24,205,Virginia Commonwealth,947276
Jorge Gutierrez,Charlotte Hornets,12,PG,75,27,189,California,189455
Tyler Hansbrough,Charlotte Hornets,50,PF,81,30,250,North Carolina,947276
Aaron Harrison,Charlotte Hornets,9,SG,78,21,210,Kentucky,525093
Spencer Hawes,Charlotte Hornets,0,PF,85,28,245,Washington,6110034
Al Jefferson,Charlotte Hornets,25,C,82,31,289,,13500000
Frank Kaminsky III,Charlotte Hornets,44,C,85,23,240,Wisconsin,2612520
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,79,22,232,Kentucky,6331404
Jeremy Lamb,Charlotte Hornets,3,SG,77,24,185,Connecticut,3034356
Courtney Lee,Charlotte Hornets,1,SG,77,30,200,Western Kentucky,5675000
Jeremy Lin,Charlotte Hornets,7,PG,75,27,200,Harvard,2139000
Kemba Walker,Charlotte Hornets,15,PG,73,26,184,Connecticut,12000000
Marvin Williams,Charlotte Hornets,2,PF,81,29,237,North Carolina,7000000
Cody Zeller,Charlotte Hornets,40,C,85,23,240,Indiana,4204200
Chris Bosh,Miami Heat,1,PF,83,32,235,Georgia Tech,22192730
Luol Deng,Miami Heat,9,SF,81,31,220,Duke,10151612
Goran Dragic,Miami Heat,7,PG,75,30,190,,14783000
Gerald Green,Miami Heat,14,SF,79,30,205,,947276
Udonis Haslem,Miami Heat,40,PF,80,36,235,Florida,2854940
Joe Johnson,Miami Heat,2,SF,79,34,240,Arkansas,261894
Tyler Johnson,Miami Heat,8,SG,76,24,186,Fresno State,845059
Josh McRoberts,Miami Heat,4,PF,82,29,240,Duke,5543725
Josh Richardson,Miami Heat,0,SG,78,22,200,Tennessee,525093
Amar'e Stoudemire,Miami Heat,5,PF,82,33,245,,947276
Dwyane Wade,Miami Heat,3,SG,76,34,220,Marquette,20000000
Briante Weber,Miami Heat,12,PG,74,23,165,Virginia Commonwealth,
Hassan Whiteside,Miami Heat,21,C,85,26,265,Marshall,981348
Justise Winslow,Miami Heat,20,SF,79,20,225,Duke,2481720
Dorell Wright,Miami Heat,11,SF,81,30,205,,
Dewayne Dedmon,Orlando Magic,3,C,85,26,245,USC,947276
Evan Fournier,Orlando Magic,10,SG,79,23,205,,2288205
Aaron Gordon,Orlando Magic,0,PF,81,20,220,Arizona,4171680
Mario Hezonja,Orlando Magic,23,SG,80,21,218,,3741480
Ersan Ilyasova,Orlando Magic,7,PF,82,29,235,,7900000
Brandon Jennings,Orlando Magic,55,PG,73,26,169,,8344497
Devyn Marble,Orlando Magic,11,SF,78,23,200,Iowa,845059
Shabazz Napier,Orlando Magic,13,PG,73,24,175,Connecticut,1294440
Andrew Nicholson,Orlando Magic,44,PF,81,26,250,St. Bonaventure,2380593
Victor Oladipo,Orlando Magic,5,SG,76,24,210,Indiana,5192520
Elfrid Payton,Orlando Magic,4,PG,76,22,185,Louisiana-Lafayette,2505720
Jason Smith,Orlando Magic,14,PF,85,30,240,Colorado State,4300000
Nikola Vucevic,Orlando Magic,9,C,85,25,260,USC,11250000
C.J. Watson,Orlando Magic,32,PG,74,32,175,Tennessee,5000000
Alan Anderson,Washington Wizards,6,SG,78,33,220,Michigan State,4000000
Bradley Beal,Washington Wizards,3,SG,77,22,207,Florida,5694674
Jared Dudley,Washington Wizards,1,SF,79,30,225,Boston College,4375000
Jarell Eddie,Washington Wizards,8,SG,79,24,218,Virginia Tech,561716
